"location","Commune","Annee","Nombre de bénéficaires de l'accompagnement FSL"
"[ 47.5559053978 , -1.49321993821]","ABBARETZ","2010",""
"[ 47.5559053978 , -1.49321993821]","ABBARETZ","2011",""
"[ 47.5559053978 , -1.49321993821]","ABBARETZ","2012",""
"[ 47.5559053978 , -1.49321993821]","ABBARETZ","2013",""
"[ 47.5559053978 , -1.49321993821]","ABBARETZ","2014",""
"[ 47.5559053978 , -1.49321993821]","ABBARETZ","2015",""
"[ 47.071465819 , -1.41539314185]","AIGREFEUILLE-SUR-MAINE","2010","0"
"[ 47.071465819 , -1.41539314185]","AIGREFEUILLE-SUR-MAINE","2011","0"
"[ 47.071465819 , -1.41539314185]","AIGREFEUILLE-SUR-MAINE","2012","0"
"[ 47.071465819 , -1.41539314185]","AIGREFEUILLE-SUR-MAINE","2013",""
"[ 47.071465819 , -1.41539314185]","AIGREFEUILLE-SUR-MAINE","2014",""
"[ 47.071465819 , -1.41539314185]","AIGREFEUILLE-SUR-MAINE","2015",""
"[ 47.3834763632 , -1.18216539989]","ANCENIS","2010","14"
"[ 47.3834763632 , -1.18216539989]","ANCENIS","2011","18"
"[ 47.3834763632 , -1.18216539989]","ANCENIS","2012","15"
"[ 47.3834763632 , -1.18216539989]","ANCENIS","2013","15"
"[ 47.3834763632 , -1.18216539989]","ANCENIS","2014","26"
"[ 47.3834763632 , -1.18216539989]","ANCENIS","2015","23"
"[ 47.3812469147 , -1.09404489844]","ANETZ","2010","0"
"[ 47.3812469147 , -1.09404489844]","ANETZ","2011",""
"[ 47.3812469147 , -1.09404489844]","ANETZ","2012",""
"[ 47.3812469147 , -1.09404489844]","ANETZ","2013",""
"[ 47.3812469147 , -1.09404489844]","ANETZ","2014",""
"[ 47.3812469147 , -1.09404489844]","ANETZ","2015",""
"[ 47.1591412154 , -1.95348595036]","ARTHON-EN-RETZ","2010","0"
"[ 47.1591412154 , -1.95348595036]","ARTHON-EN-RETZ","2011",""
"[ 47.1591412154 , -1.95348595036]","ARTHON-EN-RETZ","2012","0"
"[ 47.1591412154 , -1.95348595036]","ARTHON-EN-RETZ","2013","0"
"[ 47.1591412154 , -1.95348595036]","ARTHON-EN-RETZ","2014",""
"[ 47.1591412154 , -1.95348595036]","ARTHON-EN-RETZ","2015",""
"[ 47.4380241677 , -2.41280037578]","ASSERAC","2010","0"
"[ 47.4380241677 , -2.41280037578]","ASSERAC","2011","0"
"[ 47.4380241677 , -2.41280037578]","ASSERAC","2012",""
"[ 47.4380241677 , -2.41280037578]","ASSERAC","2013","0"
"[ 47.4380241677 , -2.41280037578]","ASSERAC","2014","0"
"[ 47.4380241677 , -2.41280037578]","ASSERAC","2015",""
"[ 47.6350768939 , -1.97076192139]","AVESSAC","2010",""
"[ 47.6350768939 , -1.97076192139]","AVESSAC","2011",""
"[ 47.6350768939 , -1.97076192139]","AVESSAC","2012",""
"[ 47.6350768939 , -1.97076192139]","AVESSAC","2013",""
"[ 47.6350768939 , -1.97076192139]","AVESSAC","2014",""
"[ 47.6350768939 , -1.97076192139]","AVESSAC","2015",""
"[ 47.2822180475 , -1.29803924196]","BARBECHAT","2010","0"
"[ 47.2822180475 , -1.29803924196]","BARBECHAT","2011",""
"[ 47.2822180475 , -1.29803924196]","BARBECHAT","2012","0"
"[ 47.2822180475 , -1.29803924196]","BARBECHAT","2013","0"
"[ 47.2822180475 , -1.29803924196]","BARBECHAT","2014","0"
"[ 47.2822180475 , -1.29803924196]","BARBECHAT","2015",""
"[ 47.2120743299 , -1.46232009785]","BASSE-GOULAINE","2010","0"
"[ 47.2120743299 , -1.46232009785]","BASSE-GOULAINE","2011",""
"[ 47.2120743299 , -1.46232009785]","BASSE-GOULAINE","2012",""
"[ 47.2120743299 , -1.46232009785]","BASSE-GOULAINE","2013","0"
"[ 47.2120743299 , -1.46232009785]","BASSE-GOULAINE","2014",""
"[ 47.2120743299 , -1.46232009785]","BASSE-GOULAINE","2015",""
"[ 47.2845959695 , -2.47398765411]","BATZ-SUR-MER","2010",""
"[ 47.2845959695 , -2.47398765411]","BATZ-SUR-MER","2011",""
"[ 47.2845959695 , -2.47398765411]","BATZ-SUR-MER","2012",""
"[ 47.2845959695 , -2.47398765411]","BATZ-SUR-MER","2013",""
"[ 47.2845959695 , -2.47398765411]","BATZ-SUR-MER","2014",""
"[ 47.2845959695 , -2.47398765411]","BATZ-SUR-MER","2015",""
"[ 47.478616531 , -1.02646881204]","BELLIGNE","2010","0"
"[ 47.478616531 , -1.02646881204]","BELLIGNE","2011",""
"[ 47.478616531 , -1.02646881204]","BELLIGNE","2012",""
"[ 47.478616531 , -1.02646881204]","BELLIGNE","2013",""
"[ 47.478616531 , -1.02646881204]","BELLIGNE","2014","0"
"[ 47.478616531 , -1.02646881204]","BELLIGNE","2015","0"
"[ 47.3803275742 , -2.0746331445]","BESNE","2010","0"
"[ 47.3803275742 , -2.0746331445]","BESNE","2011","0"
"[ 47.3803275742 , -2.0746331445]","BESNE","2012","0"
"[ 47.3803275742 , -2.0746331445]","BESNE","2013","0"
"[ 47.3803275742 , -2.0746331445]","BESNE","2014","0"
"[ 47.3803275742 , -2.0746331445]","BESNE","2015","0"
"[ 47.4631966796 , -1.76763546259]","BLAIN","2010",""
"[ 47.4631966796 , -1.76763546259]","BLAIN","2011","8"
"[ 47.4631966796 , -1.76763546259]","BLAIN","2012","10"
"[ 47.4631966796 , -1.76763546259]","BLAIN","2013","13"
"[ 47.4631966796 , -1.76763546259]","BLAIN","2014","14"
"[ 47.4631966796 , -1.76763546259]","BLAIN","2015","12"
"[ 47.5201396948 , -1.23344255026]","BONNOEUVRE","2010","0"
"[ 47.5201396948 , -1.23344255026]","BONNOEUVRE","2011","0"
"[ 47.5201396948 , -1.23344255026]","BONNOEUVRE","2012","0"
"[ 47.5201396948 , -1.23344255026]","BONNOEUVRE","2013","0"
"[ 47.5201396948 , -1.23344255026]","BONNOEUVRE","2014",""
"[ 47.5201396948 , -1.23344255026]","BONNOEUVRE","2015",""
"[ 47.1475902945 , -1.67325732821]","BOUAYE","2010","0"
"[ 47.1475902945 , -1.67325732821]","BOUAYE","2011",""
"[ 47.1475902945 , -1.67325732821]","BOUAYE","2012","5"
"[ 47.1475902945 , -1.67325732821]","BOUAYE","2013",""
"[ 47.1475902945 , -1.67325732821]","BOUAYE","2014","7"
"[ 47.1475902945 , -1.67325732821]","BOUAYE","2015","7"
"[ 47.3049306975 , -1.91286137429]","BOUEE","2010",""
"[ 47.3049306975 , -1.91286137429]","BOUEE","2011",""
"[ 47.3049306975 , -1.91286137429]","BOUEE","2012","0"
"[ 47.3049306975 , -1.91286137429]","BOUEE","2013",""
"[ 47.3049306975 , -1.91286137429]","BOUEE","2014",""
"[ 47.3049306975 , -1.91286137429]","BOUEE","2015","0"
"[ 47.1705880649 , -1.61688359971]","BOUGUENAIS","2010","13"
"[ 47.1705880649 , -1.61688359971]","BOUGUENAIS","2011","12"
"[ 47.1705880649 , -1.61688359971]","BOUGUENAIS","2012","10"
"[ 47.1705880649 , -1.61688359971]","BOUGUENAIS","2013","17"
"[ 47.1705880649 , -1.61688359971]","BOUGUENAIS","2014","12"
"[ 47.1705880649 , -1.61688359971]","BOUGUENAIS","2015","8"
"[ 47.0379064582 , -1.92605743801]","BOURGNEUF-EN-RETZ","2010",""
"[ 47.0379064582 , -1.92605743801]","BOURGNEUF-EN-RETZ","2011","0"
"[ 47.0379064582 , -1.92605743801]","BOURGNEUF-EN-RETZ","2012","0"
"[ 47.0379064582 , -1.92605743801]","BOURGNEUF-EN-RETZ","2013",""
"[ 47.0379064582 , -1.92605743801]","BOURGNEUF-EN-RETZ","2014",""
"[ 47.0379064582 , -1.92605743801]","BOURGNEUF-EN-RETZ","2015",""
"[ 47.0532422065 , -1.16298499978]","BOUSSAY","2010",""
"[ 47.0532422065 , -1.16298499978]","BOUSSAY","2011",""
"[ 47.0532422065 , -1.16298499978]","BOUSSAY","2012","0"
"[ 47.0532422065 , -1.16298499978]","BOUSSAY","2013",""
"[ 47.0532422065 , -1.16298499978]","BOUSSAY","2014","0"
"[ 47.0532422065 , -1.16298499978]","BOUSSAY","2015",""
"[ 47.4172557431 , -1.87700041567]","BOUVRON","2010",""
"[ 47.4172557431 , -1.87700041567]","BOUVRON","2011","5"
"[ 47.4172557431 , -1.87700041567]","BOUVRON","2012",""
"[ 47.4172557431 , -1.87700041567]","BOUVRON","2013",""
"[ 47.4172557431 , -1.87700041567]","BOUVRON","2014",""
"[ 47.4172557431 , -1.87700041567]","BOUVRON","2015","8"
"[ 47.1702604213 , -1.72634806072]","BRAINS","2010","0"
"[ 47.1702604213 , -1.72634806072]","BRAINS","2011",""
"[ 47.1702604213 , -1.72634806072]","BRAINS","2012","0"
"[ 47.1702604213 , -1.72634806072]","BRAINS","2013","0"
"[ 47.1702604213 , -1.72634806072]","BRAINS","2014",""
"[ 47.1702604213 , -1.72634806072]","BRAINS","2015",""
"[ 47.4161355258 , -1.96739796155]","CAMPBON","2010","0"
"[ 47.4161355258 , -1.96739796155]","CAMPBON","2011",""
"[ 47.4161355258 , -1.96739796155]","CAMPBON","2012",""
"[ 47.4161355258 , -1.96739796155]","CAMPBON","2013",""
"[ 47.4161355258 , -1.96739796155]","CAMPBON","2014",""
"[ 47.4161355258 , -1.96739796155]","CAMPBON","2015",""
"[ 47.3017835896 , -1.4720293366]","CARQUEFOU","2010","0"
"[ 47.3017835896 , -1.4720293366]","CARQUEFOU","2011","8"
"[ 47.3017835896 , -1.4720293366]","CARQUEFOU","2012","6"
"[ 47.3017835896 , -1.4720293366]","CARQUEFOU","2013","6"
"[ 47.3017835896 , -1.4720293366]","CARQUEFOU","2014","10"
"[ 47.3017835896 , -1.4720293366]","CARQUEFOU","2015","8"
"[ 47.3921514046 , -1.55575004259]","CASSON","2010","0"
"[ 47.3921514046 , -1.55575004259]","CASSON","2011","0"
"[ 47.3921514046 , -1.55575004259]","CASSON","2012","0"
"[ 47.3921514046 , -1.55575004259]","CASSON","2013",""
"[ 47.3921514046 , -1.55575004259]","CASSON","2014",""
"[ 47.3921514046 , -1.55575004259]","CASSON","2015",""
"[ 47.1156278072 , -1.43813567661]","CHATEAU-THEBAUD","2010",""
"[ 47.1156278072 , -1.43813567661]","CHATEAU-THEBAUD","2011","0"
"[ 47.1156278072 , -1.43813567661]","CHATEAU-THEBAUD","2012",""
"[ 47.1156278072 , -1.43813567661]","CHATEAU-THEBAUD","2013","0"
"[ 47.1156278072 , -1.43813567661]","CHATEAU-THEBAUD","2014",""
"[ 47.1156278072 , -1.43813567661]","CHATEAU-THEBAUD","2015",""
"[ 47.7221266578 , -1.3868518683]","CHATEAUBRIANT","2010","12"
"[ 47.7221266578 , -1.3868518683]","CHATEAUBRIANT","2011","16"
"[ 47.7221266578 , -1.3868518683]","CHATEAUBRIANT","2012","29"
"[ 47.7221266578 , -1.3868518683]","CHATEAUBRIANT","2013","22"
"[ 47.7221266578 , -1.3868518683]","CHATEAUBRIANT","2014","19"
"[ 47.7221266578 , -1.3868518683]","CHATEAUBRIANT","2015","30"
"[ 47.1585837874 , -2.01187045411]","CHAUVE","2010","0"
"[ 47.1585837874 , -2.01187045411]","CHAUVE","2011","0"
"[ 47.1585837874 , -2.01187045411]","CHAUVE","2012",""
"[ 47.1585837874 , -2.01187045411]","CHAUVE","2013",""
"[ 47.1585837874 , -2.01187045411]","CHAUVE","2014",""
"[ 47.1585837874 , -2.01187045411]","CHAUVE","2015",""
"[ 47.1811256323 , -1.79949688833]","CHEIX-EN-RETZ","2010","0"
"[ 47.1811256323 , -1.79949688833]","CHEIX-EN-RETZ","2011",""
"[ 47.1811256323 , -1.79949688833]","CHEIX-EN-RETZ","2012","0"
"[ 47.1811256323 , -1.79949688833]","CHEIX-EN-RETZ","2013","0"
"[ 47.1811256323 , -1.79949688833]","CHEIX-EN-RETZ","2014","0"
"[ 47.1811256323 , -1.79949688833]","CHEIX-EN-RETZ","2015","0"
"[ 47.1388095381 , -1.88881839858]","CHEMERE","2010","0"
"[ 47.1388095381 , -1.88881839858]","CHEMERE","2011","0"
"[ 47.1388095381 , -1.88881839858]","CHEMERE","2012",""
"[ 47.1388095381 , -1.88881839858]","CHEMERE","2013",""
"[ 47.1388095381 , -1.88881839858]","CHEMERE","2014",""
"[ 47.1388095381 , -1.88881839858]","CHEMERE","2015",""
"[ 47.0973822656 , -1.27083872186]","CLISSON","2010",""
"[ 47.0973822656 , -1.27083872186]","CLISSON","2011",""
"[ 47.0973822656 , -1.27083872186]","CLISSON","2012","6"
"[ 47.0973822656 , -1.27083872186]","CLISSON","2013",""
"[ 47.0973822656 , -1.27083872186]","CLISSON","2014",""
"[ 47.0973822656 , -1.27083872186]","CLISSON","2015",""
"[ 47.6487874303 , -1.76256450401]","CONQUEREUIL","2010",""
"[ 47.6487874303 , -1.76256450401]","CONQUEREUIL","2011",""
"[ 47.6487874303 , -1.76256450401]","CONQUEREUIL","2012",""
"[ 47.6487874303 , -1.76256450401]","CONQUEREUIL","2013","0"
"[ 47.6487874303 , -1.76256450401]","CONQUEREUIL","2014","0"
"[ 47.6487874303 , -1.76256450401]","CONQUEREUIL","2015","0"
"[ 46.9532098009 , -1.59976643082]","CORCOUE-SUR-LOGNE","2010","0"
"[ 46.9532098009 , -1.59976643082]","CORCOUE-SUR-LOGNE","2011",""
"[ 46.9532098009 , -1.59976643082]","CORCOUE-SUR-LOGNE","2012","0"
"[ 46.9532098009 , -1.59976643082]","CORCOUE-SUR-LOGNE","2013",""
"[ 46.9532098009 , -1.59976643082]","CORCOUE-SUR-LOGNE","2014",""
"[ 46.9532098009 , -1.59976643082]","CORCOUE-SUR-LOGNE","2015","0"
"[ 47.2974351958 , -1.83497396415]","CORDEMAIS","2010","0"
"[ 47.2974351958 , -1.83497396415]","CORDEMAIS","2011","0"
"[ 47.2974351958 , -1.83497396415]","CORDEMAIS","2012","0"
"[ 47.2974351958 , -1.83497396415]","CORDEMAIS","2013","0"
"[ 47.2974351958 , -1.83497396415]","CORDEMAIS","2014","0"
"[ 47.2974351958 , -1.83497396415]","CORDEMAIS","2015","0"
"[ 47.2595030114 , -2.0935429789]","CORSEPT","2010","0"
"[ 47.2595030114 , -2.0935429789]","CORSEPT","2011",""
"[ 47.2595030114 , -2.0935429789]","CORSEPT","2012","0"
"[ 47.2595030114 , -2.0935429789]","CORSEPT","2013","0"
"[ 47.2595030114 , -2.0935429789]","CORSEPT","2014",""
"[ 47.2595030114 , -2.0935429789]","CORSEPT","2015",""
"[ 47.2307444319 , -1.72989027914]","COUERON","2010","5"
"[ 47.2307444319 , -1.72989027914]","COUERON","2011","9"
"[ 47.2307444319 , -1.72989027914]","COUERON","2012","19"
"[ 47.2307444319 , -1.72989027914]","COUERON","2013","13"
"[ 47.2307444319 , -1.72989027914]","COUERON","2014","15"
"[ 47.2307444319 , -1.72989027914]","COUERON","2015","16"
"[ 47.3884693006 , -1.29261187738]","COUFFE","2010",""
"[ 47.3884693006 , -1.29261187738]","COUFFE","2011","0"
"[ 47.3884693006 , -1.29261187738]","COUFFE","2012","0"
"[ 47.3884693006 , -1.29261187738]","COUFFE","2013","0"
"[ 47.3884693006 , -1.29261187738]","COUFFE","2014",""
"[ 47.3884693006 , -1.29261187738]","COUFFE","2015","0"
"[ 47.4044339344 , -2.15350386737]","CROSSAC","2010","0"
"[ 47.4044339344 , -2.15350386737]","CROSSAC","2011","0"
"[ 47.4044339344 , -2.15350386737]","CROSSAC","2012","0"
"[ 47.4044339344 , -2.15350386737]","CROSSAC","2013","0"
"[ 47.4044339344 , -2.15350386737]","CROSSAC","2014","0"
"[ 47.4044339344 , -2.15350386737]","CROSSAC","2015","0"
"[ 47.6576519227 , -1.67772679684]","DERVAL","2010",""
"[ 47.6576519227 , -1.67772679684]","DERVAL","2011",""
"[ 47.6576519227 , -1.67772679684]","DERVAL","2012","0"
"[ 47.6576519227 , -1.67772679684]","DERVAL","2013",""
"[ 47.6576519227 , -1.67772679684]","DERVAL","2014",""
"[ 47.6576519227 , -1.67772679684]","DERVAL","2015",""
"[ 47.3390103669 , -2.07411237435]","DONGES","2010",""
"[ 47.3390103669 , -2.07411237435]","DONGES","2011","10"
"[ 47.3390103669 , -2.07411237435]","DONGES","2012","11"
"[ 47.3390103669 , -2.07411237435]","DONGES","2013","11"
"[ 47.3390103669 , -2.07411237435]","DONGES","2014","5"
"[ 47.3390103669 , -2.07411237435]","DONGES","2015","15"
"[ 47.4680394404 , -2.05949037545]","DREFFEAC","2010",""
"[ 47.4680394404 , -2.05949037545]","DREFFEAC","2011",""
"[ 47.4680394404 , -2.05949037545]","DREFFEAC","2012","0"
"[ 47.4680394404 , -2.05949037545]","DREFFEAC","2013",""
"[ 47.4680394404 , -2.05949037545]","DREFFEAC","2014",""
"[ 47.4680394404 , -2.05949037545]","DREFFEAC","2015","0"
"[ 47.6690071568 , -1.32158802129]","ERBRAY","2010","0"
"[ 47.6690071568 , -1.32158802129]","ERBRAY","2011","0"
"[ 47.6690071568 , -1.32158802129]","ERBRAY","2012",""
"[ 47.6690071568 , -1.32158802129]","ERBRAY","2013",""
"[ 47.6690071568 , -1.32158802129]","ERBRAY","2014","0"
"[ 47.6690071568 , -1.32158802129]","ERBRAY","2015","0"
"[ 47.3907376066 , -1.79526230358]","FAY-DE-BRETAGNE","2010",""
"[ 47.3907376066 , -1.79526230358]","FAY-DE-BRETAGNE","2011","0"
"[ 47.3907376066 , -1.79526230358]","FAY-DE-BRETAGNE","2012",""
"[ 47.3907376066 , -1.79526230358]","FAY-DE-BRETAGNE","2013","7"
"[ 47.3907376066 , -1.79526230358]","FAY-DE-BRETAGNE","2014","6"
"[ 47.3907376066 , -1.79526230358]","FAY-DE-BRETAGNE","2015","5"
"[ 47.580349844 , -2.02480145399]","FEGREAC","2010",""
"[ 47.580349844 , -2.02480145399]","FEGREAC","2011",""
"[ 47.580349844 , -2.02480145399]","FEGREAC","2012","0"
"[ 47.580349844 , -2.02480145399]","FEGREAC","2013",""
"[ 47.580349844 , -2.02480145399]","FEGREAC","2014",""
"[ 47.580349844 , -2.02480145399]","FEGREAC","2015",""
"[ 47.8000107129 , -1.38788805998]","FERCE","2010",""
"[ 47.8000107129 , -1.38788805998]","FERCE","2011","0"
"[ 47.8000107129 , -1.38788805998]","FERCE","2012","0"
"[ 47.8000107129 , -1.38788805998]","FERCE","2013","0"
"[ 47.8000107129 , -1.38788805998]","FERCE","2014","0"
"[ 47.8000107129 , -1.38788805998]","FERCE","2015","0"
"[ 47.0250109608 , -1.85906099901]","FRESNAY-EN-RETZ","2010","0"
"[ 47.0250109608 , -1.85906099901]","FRESNAY-EN-RETZ","2011","0"
"[ 47.0250109608 , -1.85906099901]","FRESNAY-EN-RETZ","2012","0"
"[ 47.0250109608 , -1.85906099901]","FRESNAY-EN-RETZ","2013","0"
"[ 47.0250109608 , -1.85906099901]","FRESNAY-EN-RETZ","2014","0"
"[ 47.0250109608 , -1.85906099901]","FRESNAY-EN-RETZ","2015","0"
"[ 47.2449392647 , -1.93379504502]","FROSSAY","2010","0"
"[ 47.2449392647 , -1.93379504502]","FROSSAY","2011",""
"[ 47.2449392647 , -1.93379504502]","FROSSAY","2012","0"
"[ 47.2449392647 , -1.93379504502]","FROSSAY","2013",""
